"time","summary","icon","precipProbability","precipType","temperatureMin","temperatureMax","humidity","windSpeed","cloudCover"
2017-06-05,"Clear throughout the day.","clear-day",0,NA,50.96,68.13,0.63,3.97,0.05
2017-06-06,"Clear throughout the day.","clear-day",0,NA,55.37,79.06,0.56,3.25,0.05
2017-06-07,"Rain overnight.","rain",0,NA,56.18,77.19,0.56,2.99,0.16
2017-06-08,"Light rain until afternoon.","rain",1,"rain",55.24,61.84,0.82,7.83,0.38
2017-06-09,"Light rain starting in the afternoon, continuing until evening.","rain",0.42,"rain",53.4,62.13,0.77,5.83,0.33
2017-06-10,"Partly cloudy until afternoon.","partly-cloudy-day",0.03,"rain",50.42,62.96,0.72,2.84,0.23
2017-06-11,"Clear throughout the day.","clear-day",0,NA,52.72,66.79,0.72,3.6,0.17
2017-06-12,"Clear throughout the day.","clear-day",0,NA,53.68,63.51,0.78,3.44,0.41
2017-06-13,"Partly cloudy in the morning.","partly-cloudy-day",0.01,"rain",51.04,61.02,0.75,3.09,0.35
2017-06-14,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,NA,53.35,62.11,0.68,4.73,0.25
2017-06-15,"Rain throughout the day.","rain",1,"rain",54.51,60.81,0.92,6.22,0.56
2017-06-16,"Partly cloudy until evening.","partly-cloudy-day",0.51,"rain",55.66,65.28,0.76,6.95,0.21
2017-06-17,"Partly cloudy until afternoon.","partly-cloudy-day",0.3,"rain",53.34,62.59,0.76,3.18,0.34
2017-06-18,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0.67,"rain",55.77,67.71,0.9,2.1,0.35
2017-06-19,"Partly cloudy in the morning.","partly-cloudy-day",0,NA,56.04,67.27,0.86,4.83,0.17
2017-06-20,"Clear throughout the day.","clear-day",0.03,"rain",56.97,65.51,0.84,0.6,0.38
2017-06-21,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,54.52,64.73,0.67,4.11,0.16
2017-06-22,"Clear throughout the day.","clear-day",0,NA,53.39,70.08,0.64,5.14,0.01
2017-06-23,"Clear throughout the day.","clear-day",0,NA,55.44,75.76,0.61,5.15,0
2017-06-24,"Clear throughout the day.","clear-day",0,NA,58.92,82.58,0.55,5.05,0.01
2017-06-25,"Clear throughout the day.","clear-day",0,NA,61.26,86.73,0.51,2.77,0.06
2017-06-26,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,59.23,70.52,0.75,5.91,0.17
2017-06-27,"Partly cloudy in the afternoon.","partly-cloudy-day",0,NA,55.53,66.32,0.73,3.47,0.25
2017-06-28,"Partly cloudy in the evening.","partly-cloudy-day",0,NA,55.56,67.32,0.77,4.92,0.26
2017-06-29,"Clear throughout the day.","clear-day",0,NA,54.56,72.82,0.72,2.58,0.03
2017-06-30,"Clear throughout the day.","clear-day",0,NA,55.9,78.62,0.7,4.27,0.07
2017-07-01,"Partly cloudy in the afternoon.","partly-cloudy-day",0,NA,55.11,65.16,0.77,3.5,0.17
2017-07-02,"Clear throughout the day.","clear-day",0,NA,55.2,71.28,0.78,2.91,0.12
2017-07-03,"Partly cloudy in the evening.","partly-cloudy-day",0,NA,57.09,64.61,0.76,1.79,0.22
2017-07-04,"Clear throughout the day.","clear-day",0,NA,55.33,73.15,0.64,4.21,0.02
2017-07-05,"Clear throughout the day.","clear-day",0,NA,56.27,77.58,0.59,3.13,0.03
2017-07-06,"Clear throughout the day.","clear-day",0,NA,56.68,75.81,0.62,2.86,0
2017-07-07,"Partly cloudy in the afternoon.","partly-cloudy-day",0,NA,56.7,69.74,0.69,4.39,0.14
2017-07-08,"Clear throughout the day.","clear-day",0,NA,57.66,75.85,0.65,4.42,0.07
2017-07-09,"Partly cloudy overnight.","partly-cloudy-night",0,NA,57.72,74.81,0.68,4.35,0.15
2017-07-10,"Partly cloudy until evening.","partly-cloudy-day",0,NA,58.08,67.68,0.73,2.32,0.27
2017-07-11,"Clear throughout the day.","clear-day",0,NA,57.08,70.77,0.68,1.37,0.12
2017-07-12,"Partly cloudy overnight.","partly-cloudy-night",0,NA,56.61,70.51,0.7,3.45,0.09
2017-07-13,"Partly cloudy in the morning.","partly-cloudy-night",0,NA,58.02,68.34,0.72,2.85,0.24
2017-07-14,"Clear throughout the day.","clear-day",0,NA,56.33,71.3,0.63,3.8,0.05
2017-07-15,"Partly cloudy overnight.","partly-cloudy-night",0,NA,56.41,71.86,0.64,2.11,0.09
2017-07-16,"Partly cloudy in the morning.","partly-cloudy-day",0,NA,57.41,68.88,0.65,1.54,0.2
2017-07-17,"Clear throughout the day.","clear-day",0,NA,56.08,72.3,0.63,4.31,0.08
